objectid,borough,maintainer,gla_tree_name,tree_name,taxon_name,common_name,age,age_group,height_m,spread_m,canopy_spread_group,diameter_at_breast_height_cm,dbh_group,longitude,latitude,condition,load_date,updated
812203,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04260491,51.51312609,,20180214,20210715
812204,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.04260371,51.51309913,,20180214,20210715
812205,Newham,Newham,Ash,Ash,Fraxinus excelsior,Ash ,,,,,,,,0.04263211,51.51308964,,20180214,20210715
812206,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.0426309,51.51306269,,20180214,20210715
812207,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.0426733,51.51304396,,20180214,20210715
812208,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.0426865,51.51301676,,20180214,20210715
812209,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.0427149,51.51300727,,20180214,20210715
812210,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04278409,51.51294311,,20180214,20210715
812211,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04284008,51.51290617,,20180214,20210715
812212,Newham,Newham,Ash,Ash,Fraxinus excelsior,Ash ,,,,,,,,0.04283807,51.51286124,,20180214,20210715
812213,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04289568,51.51286024,,20180214,20210715
812214,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04286527,51.51282479,,20180214,20210715
812215,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04293687,51.51281455,,20180214,20210715
812216,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04294926,51.51276937,,20180214,20210715
812217,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.04175632,51.51252037,,20180214,20210715
812218,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.04179953,51.51251961,,20180214,20210715
812219,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04185753,51.5125276,,20180214,20210715
812220,Newham,Newham,Birch,Birch,Betula pendula,Birch,,,,,,,,0.04188633,51.5125271,,20180214,20210715
812221,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.04191514,51.51252659,,20180214,20210715
812222,Newham,Newham,Whitebeam,Whitebeam,Sorbus aucuparia,Mountain ash,,,,,,,,0.04194394,51.51252609,,20180214,20210715
812223,Newham,Newham,Poplar,Poplar,Populus unk species,Poplar,,,,,,,,0.04345403,51.51245483,,20180214,20210715
812224,Newham,Newham,Poplar,Poplar,Populus unk species,Poplar,,,,,,,,0.04345644,51.51250874,,20180214,20210715
812225,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04339803,51.51249178,,20180214,20210715
812226,Newham,Newham,Cherry,Cherry,Prunus unk species,Cherry,,,,,,,,0.04337124,51.51253721,,20180214,20210715
812227,Newham,Newham,Other,Other,Robinia pseudoacacia,False acacia,,,,,,,,0.01834106,51.51702273,,20180214,20210715
812228,Newham,Newham,Hornbeam,Hornbeam,Carpinus betulus fastigiata,Hornbeam,,,,,,,,0.01830417,51.51703596,,20180214,20210715
812229,Newham,Newham,Plane,Plane,Platanus x hispanica,London plane,,,,,,,,0.01883878,51.51706543,,20180214,20210715
812230,Newham,Newham,Whitebeam,Whitebeam,Sorbus intermedia,Swedish whitebeam,,,,,,,,0.01841672,51.51945126,,20180214,20210715
812231,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.01850039,51.51928975,,20180214,20210715
812232,Newham,Newham,Apple,Apple,Malus unk species,Flowering crab,,,,,,,,0.01838921,51.51928537,,20180214,20210715
812233,Newham,Newham,Cherry,Cherry,Prunus cerasifera pissardii,Cherry,,,,,,,,0.04910771,51.50226903,,20180214,20210715
812234,Newham,Newham,Cherry,Cherry,Prunus cerasifera pissardii,Cherry,,,,,,,,0.04922405,51.5022607,,20180214,20210715
812235,Newham,Newham,Whitebeam,Whitebeam,Sorbus aria,Whitebeam,,,,,,,,0.05249054,51.50235645,,20180214,20210715
812236,Newham,Newham,Whitebeam,Whitebeam,Sorbus aria,Whitebeam,,,,,,,,0.05260128,51.50235182,,20180214,20210715
812237,Newham,Newham,Whitebeam,Whitebeam,Sorbus aria,Whitebeam,,,,,,,,0.05308595,51.50233164,,20180214,20210715
